target,query,node_token,node_token_id,node_text,context,predicted_token,heads,head_ids,max_shift_low,known_claim_target,lag_to_known_claim,claim_in_next_window,claim_at_decision,known_claim_unsupported,other_followup_annotation,future_hallucination_known,id,source_id,task,generator,split,annotation_origin
8,441,7,1168, kn," clothes consisted of woven or ⟦ kn⟧ itted textiles, held together",itted,3,"[[9, 9], [15, 5], [26, 3]]",0.4094136555989583,35,27,False,False,False,unknown,,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
11,444,10,11,","," woven or knitted textiles ⟦,⟧  held together by large metal", held,1,"[[6, 25]]",0.1313883463541666,35,24,False,False,False,unknown,,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
12,445,11,5762, held," or knitted textiles, ⟦ held⟧  together by large metal pins", together,1,"[[26, 3]]",0.1686452229817708,35,23,False,False,False,unknown,,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
16,449,15,9501, metal,", held together by large ⟦ metal⟧  pins. They wore tun", pins,1,"[[20, 3]]",0.2292073567708333,35,19,False,False,False,unknown,,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
18,451,17,13,., together by large metal pins ⟦.⟧  They wore tunics and, They,12,"[[7, 10], [9, 9], [10, 9], [10, 30], [11, 16], [11, 17], [12, 17], [12, 24], [13, 24], [15, 0], [16, 22], [17, 30]]",0.2906748453776042,35,17,False,False,False,unknown,,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
21,454,20,11716, tun, metal pins. They wore ⟦ tun⟧ ics and skirts that were,ics,1,"[[26, 3]]",0.3445841471354166,35,14,False,False,False,unknown,,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
28,461,27,2539, full," and skirts that were usually ⟦ full⟧ -length, and added clo",-length,1,"[[6, 29]]",0.2022501627604166,35,7,True,False,False,unknown,,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
30,463,29,11,","," that were usually full-length ⟦,⟧  and added cloaks and", and,4,"[[9, 9], [14, 10], [14, 11], [17, 30]]",0.2796223958333333,35,5,True,False,False,unknown,,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
31,464,30,323, and," were usually full-length, ⟦ and⟧  added cloaks and", added,2,"[[12, 17], [23, 21]]",0.14544677734375,35,4,True,False,False,unknown,,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
7,440,6,56874, woven,"ca clothes were made of ⟦ woven⟧  or knitted textiles,", or,1,"[[20, 3]]",0.14990234375,35,28,False,False,True,unknown,,14315_headwear_scope__unsupported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
9,442,8,1168, kn," were made of woven or ⟦ kn⟧ itted textiles, often with",itted,6,"[[9, 9], [14, 11], [15, 5], [26, 3], [27, 28], [30, 26]]",0.5141855875651041,35,26,False,False,True,unknown,,14315_headwear_scope__unsupported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
12,445,11,11,","," woven or knitted textiles ⟦,⟧  often with rich colors and", often,1,"[[6, 25]]",0.11370849609375,35,23,False,False,True,unknown,,14315_headwear_scope__unsupported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
19,452,18,85927, embroidery, with rich colors and delicate ⟦ embroidery⟧  with gold and silver thread, with,1,"[[20, 3]]",0.2115936279296875,35,16,False,False,True,unknown,,14315_headwear_scope__unsupported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
20,453,19,449, with, rich colors and delicate embroidery ⟦ with⟧  gold and silver thread., gold,1,"[[19, 2]]",0.1674397786458333,35,15,False,False,True,unknown,,14315_headwear_scope__unsupported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
22,455,21,323, and, and delicate embroidery with gold ⟦ and⟧  silver thread. They were, silver,12,"[[6, 13], [7, 10], [8, 13], [9, 8], [9, 9], [10, 9], [11, 9], [11, 16], [12, 24], [12, 26], [15, 6], [16, 22]]",0.4662882486979167,35,13,False,False,True,unknown,,14315_headwear_scope__unsupported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
24,457,23,4617, thread, embroidery with gold and silver ⟦ thread⟧ . They were held together,.,3,"[[12, 18], [17, 30], [22, 19]]",0.1796366373697916,35,11,False,False,True,unknown,,14315_headwear_scope__unsupported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
25,458,24,13,., with gold and silver thread ⟦.⟧  They were held together by, They,2,"[[7, 2], [15, 0]]",0.1647796630859375,35,10,False,False,True,unknown,,14315_headwear_scope__unsupported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
26,459,25,2435, They, gold and silver thread. ⟦ They⟧  were held together by large, were,2,"[[7, 27], [16, 22]]",0.2285970052083333,35,9,False,False,True,unknown,,14315_headwear_scope__unsupported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
32,465,31,9501, metal, were held together by large ⟦ metal⟧  pins and wore, pins,1,"[[20, 3]]",0.221588134765625,35,3,True,False,True,unknown,True,14315_headwear_scope__unsupported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
5,539,4,47869, passages,"

Based on the given ⟦ passages⟧ , here's how to",",",3,"[[0, 1], [20, 3], [22, 19]]",0.2867431640625,126,121,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
6,540,5,11,",","Based on the given passages ⟦,⟧  here's how to cook", here,4,"[[9, 9], [12, 18], [14, 11], [17, 4]]",0.2408447265625,126,120,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
13,547,12,1900,ats,"'s how to cook br ⟦ats⟧ :

1. Preheat",":

",1,"[[29, 29]]",0.1362559000651041,126,113,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
16,550,15,13,.," cook brats:

1 ⟦.⟧  Preheat an outdoor grill", Pre,1,"[[0, 1]]",0.2030356725056966,126,110,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
26,560,25,13,., grill for medium-high heat ⟦.⟧  Lightly oil the grate, Light,11,"[[5, 3], [7, 10], [9, 8], [9, 9], [10, 16], [11, 17], [11, 19], [11, 31], [12, 17], [12, 18], [14, 10]]",0.42236328125,126,100,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
32,566,31,627,".
"," Lightly oil the grate ⟦.
⟧ 2. If you want",2,13,"[[9, 9], [12, 17], [13, 24], [14, 10], [14, 11], [15, 0], [15, 7], [15, 8], [16, 13], [16, 14], [16, 22], [17, 20], [18, 7]]",0.3602193196614583,126,94,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
33,567,32,17,2,"ly oil the grate.
 ⟦2⟧ . If you want to",.,3,"[[5, 12], [11, 19], [12, 28]]",0.1571858723958333,126,93,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
47,581,46,11,",","ats in a pot first ⟦,⟧  prick them with a fork", prick,2,"[[7, 2], [12, 17]]",0.1724039713541666,126,79,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
48,582,47,89800, prick," in a pot first, ⟦ prick⟧  them with a fork,", them,1,"[[6, 29]]",0.10162353515625,126,78,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
52,586,51,23243, fork,", prick them with a ⟦ fork⟧ , combine them with onions",",",1,"[[26, 3]]",0.1552632649739583,126,74,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
57,591,56,45697, onions," fork, combine them with ⟦ onions⟧ , butter, and beer",",",1,"[[20, 3]]",0.2077433268229166,126,69,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
62,596,61,13179, beer," onions, butter, and ⟦ beer⟧  in a large pot,", in,2,"[[14, 10], [26, 3]]",0.1337076822916666,126,64,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
63,597,62,304, in,", butter, and beer ⟦ in⟧  a large pot, and", a,2,"[[7, 27], [11, 8]]",0.2508544921875,126,63,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
67,601,66,11,","," beer in a large pot ⟦,⟧  and simmer over medium heat", and,2,"[[8, 22], [16, 22]]",0.3546142578125,126,59,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
71,605,70,11298, medium," pot, and simmer over ⟦ medium⟧  heat for 15 to", heat,1,"[[26, 3]]",0.1560312906901041,126,55,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
76,610,75,311, to," medium heat for 15 ⟦ to⟧  20 minutes.
3", ,2,"[[8, 22], [9, 9]]",0.1216227213541666,126,50,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
80,614,79,627,".
","15 to 20 minutes ⟦.
⟧ 3. Alternatively, cook",3,3,"[[5, 12], [16, 22], [18, 30]]",0.3393961588541666,126,46,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
81,615,80,18,3," to 20 minutes.
 ⟦3⟧ . Alternatively, cook the",.,2,"[[2, 13], [5, 22]]",0.2324854532877604,126,45,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
87,621,86,1437, br,". Alternatively, cook the ⟦ br⟧ ats directly on the pre",ats,2,"[[13, 24], [30, 24]]",0.261962890625,126,39,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
92,626,91,864, pre, brats directly on the ⟦ pre⟧ heated grill for ,he,1,"[[12, 18]]",0.1119181315104166,126,34,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
93,627,92,383,he,ats directly on the pre ⟦he⟧ ated grill for 10,ated,5,"[[8, 13], [8, 22], [9, 9], [9, 10], [10, 30]]",0.2507222493489583,126,33,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
96,630,95,369, for, the preheated grill ⟦ for⟧  10 to 14, ,1,"[[16, 22]]",0.2049967447916666,126,30,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
98,632,97,605,10,"heated grill for  ⟦10⟧  to 14 minutes,", to,1,"[[31, 11]]",0.1412099202473958,126,28,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
99,633,98,311, to,"ated grill for 10 ⟦ to⟧  14 minutes, turning", ,3,"[[11, 16], [14, 10], [16, 22]]",0.17327880859375,126,27,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
102,636,101,4520, minutes," 10 to 14 ⟦ minutes⟧ , turning occasionally to brown",",",1,"[[30, 31]]",0.1311238606770833,126,24,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
103,637,102,11,",","10 to 14 minutes ⟦,⟧  turning occasionally to brown evenly", turning,4,"[[5, 3], [5, 12], [5, 13], [16, 22]]",0.45355224609375,126,23,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
108,642,107,42147, evenly,", turning occasionally to brown ⟦ evenly⟧ .
4. If cooking",".
",1,"[[16, 22]]",0.2658640543619791,126,18,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
109,643,108,627,".
"," turning occasionally to brown evenly ⟦.
⟧ 4. If cooking in",4,6,"[[5, 3], [5, 13], [7, 2], [8, 22], [13, 24], [24, 21]]",0.2145589192708333,126,17,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
112,646,111,1442, If," brown evenly.
4. ⟦ If⟧  cooking in a pot,", cooking,1,"[[31, 11]]",0.195159912109375,126,14,False,False,False,unknown,,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
4,538,3,1900,ats,"<|end_header_id|>

To cook br ⟦ats⟧ , follow these steps:

",",",1,"[[29, 29]]",0.1621602376302083,126,122,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
5,539,4,11,",","

To cook brats ⟦,⟧  follow these steps:

1", follow,2,"[[9, 9], [14, 11]]",0.2089640299479166,126,121,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
9,543,8,1473,":

","ats, follow these steps ⟦:

⟧ 1. Prick the",1,2,"[[9, 9], [10, 30]]",0.2687581380208333,126,117,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
12,546,11,2394, Pr," these steps:

1. ⟦ Pr⟧ ick the bratwurst",ick,1,"[[20, 3]]",0.100921630859375,126,114,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
16,550,15,86,w,. Prick the brat ⟦w⟧ urst with a fork to,urst,3,"[[7, 17], [30, 1], [30, 9]]",0.3425649007161458,126,110,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
21,555,20,311, to,wurst with a fork ⟦ to⟧  prevent them from exploding as, prevent,1,"[[11, 17]]",0.1153157552083333,126,105,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
25,559,24,73745, exploding," fork to prevent them from ⟦ exploding⟧  as they cook.
2", as,1,"[[16, 28]]",0.1052246093749999,126,101,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
26,560,25,439, as," to prevent them from exploding ⟦ as⟧  they cook.
2.", they,4,"[[9, 9], [10, 30], [11, 17], [12, 18]]",0.2834879557291667,126,100,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
28,562,27,4394, cook," them from exploding as they ⟦ cook⟧ .
2. Combine the",".
",5,"[[12, 18], [14, 11], [15, 7], [17, 20], [21, 6]]",0.4011637369791666,126,98,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
29,563,28,627,".
"," from exploding as they cook ⟦.
⟧ 2. Combine the brat",2,13,"[[0, 1], [2, 0], [7, 2], [7, 12], [7, 19], [8, 22], [9, 9], [10, 16], [11, 16], [15, 0], [15, 12], [16, 22], [31, 28]]",0.3917643229166666,126,97,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
35,569,34,86,w,"2. Combine the brat ⟦w⟧ urst, onions, butter",urst,5,"[[6, 19], [8, 22], [30, 1], [30, 9], [30, 24]]",0.3639322916666667,126,91,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
40,574,39,14432, butter,"wurst, onions, ⟦ butter⟧ , and beer in a",",",1,"[[26, 3]]",0.1183675130208333,126,86,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
43,577,42,13179, beer," onions, butter, and ⟦ beer⟧  in a large pot.", in,2,"[[16, 13], [17, 30]]",0.2980448404947917,126,83,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
44,578,43,304, in,", butter, and beer ⟦ in⟧  a large pot. Place", a,3,"[[8, 22], [11, 16], [16, 22]]",0.3955586751302083,126,82,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
48,582,47,13,., beer in a large pot ⟦.⟧  Place the pot over medium, Place,3,"[[12, 17], [12, 18], [16, 22]]",0.4058380126953125,126,78,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
53,587,52,11298, medium,. Place the pot over ⟦ medium⟧  heat and simmer for , heat,1,"[[26, 3]]",0.1839701334635416,126,73,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
54,588,53,8798, heat, Place the pot over medium ⟦ heat⟧  and simmer for 15, and,1,"[[20, 3]]",0.1122945149739583,126,72,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
60,594,59,311, to," and simmer for 15 ⟦ to⟧  20 minutes.
3", ,5,"[[8, 13], [8, 22], [9, 10], [11, 16], [16, 22]]",0.2751057942708333,126,66,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
64,598,63,627,".
","15 to 20 minutes ⟦.
⟧ 3. Preheat a",3,3,"[[0, 1], [5, 12], [16, 22]]",0.3990681966145833,126,62,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
65,599,64,18,3," to 20 minutes.
 ⟦3⟧ . Preheat a grill",.,1,"[[2, 13]]",0.2263933817545572,126,61,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
70,604,69,40158, grill,3. Preheat a ⟦ grill⟧  for medium-high heat., for,1,"[[26, 3]]",0.12750244140625,126,56,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
75,609,74,13,., grill for medium-high heat ⟦.⟧  Lightly oil the grate, Light,2,"[[9, 8], [14, 10]]",0.1683756510416666,126,51,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
81,615,80,627,".
"," Lightly oil the grate ⟦.
⟧ 4. Cook the brat",4,12,"[[9, 8], [10, 9], [11, 17], [12, 17], [12, 28], [14, 10], [14, 11], [16, 13], [16, 22], [17, 20], [18, 7], [22, 7]]",0.4131266276041666,126,45,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
82,616,81,19,4,"ly oil the grate.
 ⟦4⟧ . Cook the bratw",.,1,"[[11, 19]]",0.1014404296875,126,44,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
87,621,86,86,w,4. Cook the brat ⟦w⟧ urst on the prehe,urst,4,"[[9, 9], [9, 10], [16, 22], [30, 24]]",0.344970703125,126,39,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
95,629,94,369, for, the preheated grill ⟦ for⟧  10 to 14, ,1,"[[16, 22]]",0.3163248697916666,126,31,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
97,631,96,605,10,"heated grill for  ⟦10⟧  to 14 minutes,", to,1,"[[31, 11]]",0.178314208984375,126,29,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
102,636,101,11,",","10 to 14 minutes ⟦,⟧  turning occasionally to brown evenly", turning,1,"[[16, 22]]",0.483428955078125,126,24,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
107,641,106,42147, evenly,", turning occasionally to brown ⟦ evenly⟧ .
5. Remove the",".
",2,"[[11, 16], [16, 22]]",0.4701080322265625,126,19,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
108,642,107,627,".
"," turning occasionally to brown evenly ⟦.
⟧ 5. Remove the brat",5,4,"[[5, 13], [7, 2], [8, 22], [24, 21]]",0.1884765625,126,18,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
114,648,113,86,w,5. Remove the brat ⟦w⟧ urst from the grill and,urst,2,"[[9, 10], [15, 5]]",0.2048848470052083,126,12,False,False,True,unknown,,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
